,titel,vorname,nachname,fraktion,id,ortszusatz,rolle,namenszusatz
11004356,,Karsten,Möring,CDU/CSU,11004356,,,
11003613,,Daniela,Ludwig,CDU/CSU,11003613,,,
11004917,,Alexander,Throm,CDU/CSU,11004917,,,
11004381,,Martin,Rabanus,SPD,11004381,,,
11004874,Dr. ,Wieland,Schinnenburg,FDP,11004874,,,
11004793,,Alexander,Krauß,CDU/CSU,11004793,,,
11004295,,Dirk,Heidenblut,SPD,11004295,,,
11004146,,Patrick,Schnieder,CDU/CSU,11004146,,,
11004891,,Thomas,Seitz,AfD,11004891,,,
11004783,,Katharina,Willkomm,FDP,11004783,,,
11004835,,Volker,Münz,AfD,11004835,,,
11004736,,Mariana Iris,Harder-Kühnel,AfD,11004736,,,
11004774,,Torbjörn,Kartes,CDU/CSU,11004774,,,
11003804,,Katja,Mast,SPD,11003804,,,
11004779,,Michael,Kießling,CDU/CSU,11004779,,,
11004831,,Hansjörg,Müller,AfD,11004831,,,
11004622,,Sarah,Ryglewski,,11004622,,Parl. Staatssekretärin beim Bundesminister der Finanzen,
11004833,,Roman,Müller-Böhm,FDP,11004833,,,
11004866,Dr. ,Manuela,Rottmann,BÜNDNIS 90/DIE GRÜNEN,11004866,,,
11004704,,Siegbert,Droese,AfD,11004704,,,
11004828,,Alexander,Müller,FDP,11004828,,,
11004805,,Nikolas,Löbel,CDU/CSU,11004805,,,
11004654,,Renata,Alt,FDP,11004654,,,
11004331,,Markus,Koob,CDU/CSU,11004331,,,
11004862,,Martin Erwin,Renner,AfD,11004862,,,
11004671,,Christoph,Bernstiel,CDU/CSU,11004671,,,
11004155,Dr. ,Patrick,Sensburg,CDU/CSU,11004155,,,
11004091,,Ralph,Lenkert,DIE LINKE,11004091,,,
11004766,,Hans-Jürgen,Irmer,CDU/CSU,11004766,,,
11004716,,Daniel,Föst,FDP,11004716,,,
11004756,Dr. ,Bettina,Hoffmann,BÜNDNIS 90/DIE GRÜNEN,11004756,,,
11004429,Dr. ,Julia,Verlinden,BÜNDNIS 90/DIE GRÜNEN,11004429,,,
10000,Dr. ,"Carsten Sieling,",Bürgermeister,Bremen,10000,,,
11003213,,Michael,Roth,,11003213,,Staatsminister im Auswärtigen Amt,
11003264,,Klaus-Peter,Willsch,CDU/CSU,11003264,,,
11004379,,Florian,Post,SPD,11004379,,,
11004806,,Bernhard,Loos,CDU/CSU,11004806,,,
11004651,,Doris,Achelwilm,DIE LINKE,11004651,,,
11004346,,Yvonne,Magwas,CDU/CSU,11004346,,,
11003830,,Sönke,Rix,SPD,11003830,,,
11004745,,Markus,Herbrand,FDP,11004745,,,
11003544,,Olav,Gutting,CDU/CSU,11003544,,,
11004617,,Ronja,Kemmer,CDU/CSU,11004617,,,
11004184,,Daniela,Wagner,BÜNDNIS 90/DIE GRÜNEN,11004184,,,
11004045,,Michael,Groß,SPD,11004045,,,
11004769,Dr. ,Christian,Jung,FDP,11004769,,,
11004927,,Andreas,Wagner,DIE LINKE,11004927,,,
11004904,,Mathias,Stein,SPD,11004904,,,
11004691,,Matthias,Büttner,AfD,11004691,,,
11004909,,Margit,Stumpp,BÜNDNIS 90/DIE GRÜNEN,11004909,,,
11004645,,Markus,Uhl,CDU/CSU,11004645,,,
11003148,,Gustav,Herzog,SPD,11003148,,,
11004087,,Ulrich,Lange,CDU/CSU,11004087,,,
11004409,,Tino,Sorge,CDU/CSU,11004409,,,
11004885,Dr. ,Manja,Schüle,SPD,11004885,,,
11004676,Dr. ,Jens,Brandenburg,FDP,11004676,(Rhein-Neckar),,
11004041,,Nicole,Gohlke,DIE LINKE,11004041,,,
11004901,,Katrin,Staffler,CDU/CSU,11004901,,,
11004733,,Erhard,Grundl,BÜNDNIS 90/DIE GRÜNEN,11004733,,,
11004829,,Axel,Müller,CDU/CSU,11004829,,,
11004923,,Gerald,Ullrich,FDP,11004923,,,
11004867,,Stefan,Rouenhoff,CDU/CSU,11004867,,,
11004924,,Kerstin,Vieregge,CDU/CSU,11004924,,,
11003758,,Martin,Gerster,SPD,11003758,,,
11004221,,Beate,Walter-Rosenheimer,BÜNDNIS 90/DIE GRÜNEN,11004221,,,
11004934,,Bettina Margarethe,Wiesmann,CDU/CSU,11004934,,,
11004246,,Ulrike,Bahr,SPD,11004246,,,
11004443,,Kai,Whittaker,CDU/CSU,11004443,,,
11004173,,Kerstin,Tack,SPD,11004173,,,
11004004,,Peter,Aumer,CDU/CSU,11004004,,,
11004741,,Thomas,Heilmann,CDU/CSU,11004741,,,
11003815,,Carsten,Müller,CDU/CSU,11003815,(Braunschweig),,
11004283,,Oliver,Grundmann,CDU/CSU,11004283,,,
999990073,,Olaf,Scholz,,999990073,,Bundesminister der Finanzen,
999990075,,Horst,Seehofer,,999990075,,"Bundesminister des Innern, für Bau und Heimat",
11004809,,Heiko,Maas,,11004809,,Bundesminister des Auswärtigen,
11002617,,Peter,Altmaier,,11002617,,Bundesminister für Wirtschaft und Energie,
11003142,,Hubertus,Heil,,11003142,,Bundesminister für Arbeit und Soziales,
999990072,,Julia,Klöckner,,999990072,,Bundesministerin für Ernährung und Landwirtschaft,
999990071,,Franziska,Giffey,,999990071,,"Bundesministerin für Familie, Senioren, Frauen und Jugend",
11003625,,Andreas,Scheuer,,11003625,,Bundesminister für Verkehr und digitale Infrastruktur,
999990074,,Svenja,Schulze,,999990074,,"Bundesministerin für Umwelt, Naturschutz und nukleare Sicherheit",
11004323,,Anja,Karliczek,,11004323,,Bundesministerin für Bildung und Forschung,
11002742,Dr. ,Gerd,Müller,,11002742,,Bundesminister für wirtschaftliche Zusammenarbeit und Entwicklung,
11003510,Dr. ,Helge,Braun,,11003510,,Bundesminister für besondere Aufgaben,
11004884,,Michael,Schrodi,SPD,11004884,,,
11003800,,Michael,Leutert,DIE LINKE,11003800,,,
11004712,Dr. ,Marcus,Faber,FDP,11004712,,,
11003645,,Michaela,Noll,CDU/CSU,11003645,,,
11004341,,Antje,Lezius,CDU/CSU,11004341,,,
11003631,,Uwe,Schummer,CDU/CSU,11003631,,,
11004699,,Astrid,Damerow,CDU/CSU,11004699,,,
11004424,,Michael,Thews,SPD,11004424,,,
11004935,Dr. ,Heiko,Wildberg,AfD,11004935,,,
11004386,Dr. ,Daniela,De Ridder,SPD,11004386,,,
11004797,,Alexander,Kulitz,FDP,11004797,,,
11004799,,Ulrich,Lechte,FDP,11004799,,,
11004052,,Mechthild,Heil,CDU/CSU,11004052,,,
11003888,Dr. ,Wolfgang,Strengmann-Kuhn,BÜNDNIS 90/DIE GRÜNEN,11003888,,,
11002019,,Ulla,Schmidt,SPD,11002019,(Aachen),,
11004054,,Frank,Heinrich,CDU/CSU,11004054,(Chemnitz),,
11004770,,Ingmar,Jung,CDU/CSU,11004770,,,
11004174,Dr. ,Peter,Tauber,,11004174,,Parl. Staatssekretär bei der Bundesministerin der Verteidigung,
11004871,,Christian,Sauter,FDP,11004871,,,
11004938,,Paul,Ziemiak,CDU/CSU,11004938,,,
11004845,,Josef,Oster,CDU/CSU,11004845,,,
11004713,,Yasmin,Fahimi,SPD,11004713,,,
11003584,Dr. ,Gesine,Lötzsch,DIE LINKE,11003584,,,
11004682,,Sebastian,Brehm,CDU/CSU,11004682,,,
11004258,,Bernhard,Daldrup,SPD,11004258,,,
11004670,,Melanie,Bernstein,CDU/CSU,11004670,,,
11004417,,Sebastian,Steineke,CDU/CSU,11004417,,,
11004812,Dr. ,Lothar,Maier,AfD,11004812,,,
11000616,,Hans-Joachim,Fuchtel,,11000616,,Parl. Staatssekretär bei der Bundesministerin für Ernährung und Landwirtschaft,
11003574,Dr. ,Günter,Krings,,11003574,,"Parl. Staatssekretär beim Bundesminister des Innern, für Bau und Heimat",
11004278,,Matthias,Gastel,BÜNDNIS 90/DIE GRÜNEN,11004278,,,
11003761,,Monika,Grütters,,11003761,,Staatsministerin bei der Bundeskanzlerin,
11003586,,Dorothee,Bär,,11003586,,Staatsministerin bei der Bundeskanzlerin,
11004312,,Dieter,Janecek,BÜNDNIS 90/DIE GRÜNEN,11004312,,,
11003742,,Michael,Brand,CDU/CSU,11003742,(Fulda),,
11004719,,Dietmar,Friedhoff,AfD,11004719,,,
11004897,,Helin Evrim,Sommer,DIE LINKE,11004897,,,
11003614,Dr. ,Sascha,Raabe,SPD,11003614,,,
11004285,,Fritz,Güntzler,CDU/CSU,11004285,,,
11004377,,Sabine,Poschmann,SPD,11004377,,,
11004317,,Frank,Junge,SPD,11004317,,,
11002666,,Hermann,Gröhe,CDU/CSU,11002666,,,
11003496,,Sören,Bartol,SPD,11003496,,,
11004241,,Stephan,Albani,CDU/CSU,11004241,,,
11004942,,Marja-Liisa,Völlers,SPD,11004942,,,
11004869,Dr.  h. c. ,Thomas,Sattelberger,FDP,11004869,,,
11004848,,Sören,Pellmann,DIE LINKE,11004848,,,
11004918,Dr. ,Dietlind,Tiemann,CDU/CSU,11004918,,,
11003210,,René,Röspel,SPD,11003210,,,
11004679,,Michel,Brandt,DIE LINKE,11004679,,,
11004452,,Emmi,Zeulner,CDU/CSU,11004452,,,
11004663,,Margarete,Bause,BÜNDNIS 90/DIE GRÜNEN,11004663,,,
11004762,,Ottmar,von Holtz,BÜNDNIS 90/DIE GRÜNEN,11004762,,,
11003597,,Stefan,Müller,CDU/CSU,11003597,(Erlangen),,
11003070,,Marie-Luise,Dött,CDU/CSU,11003070,,,
11004415,,Albert,Stegemann,CDU/CSU,11004415,,,
11003602,Dr. ,Georg,Nüßlein,CDU/CSU,11003602,,,
11003792,,Sylvia,Kotting-Uhl,BÜNDNIS 90/DIE GRÜNEN,11003792,,,
11004104,,Karin,Maag,CDU/CSU,11004104,,,
11003620,,Albert,Rupprecht,CDU/CSU,11003620,,,
11003167,,Christine,Lambrecht,,11003167,,Bundesministerin der Justiz und für Verbraucherschutz,
11004877,,Stefan,Schmidt,BÜNDNIS 90/DIE GRÜNEN,11004877,,,
11000756,Dr. ,Gregor,Gysi,DIE LINKE,11000756,,,
11004834,,Frank,Müller-Rosentritt,FDP,11004834,,,
11004739,,Jochen,Haug,AfD,11004739,,,
11004926,,Christoph,de Vries,CDU/CSU,11004926,,,
11004711,Dr. ,Michael,Espendiller,AfD,11004711,,,
11003860,,Kai,Wegner,CDU/CSU,11003860,,,
11004743,,Udo Theodor,Hemmelgarn,AfD,11004743,,,
11004229,,Hagen,Reinhold,FDP,11004229,,,
11004423,,Claudia,Tausend,SPD,11004423,,,
11004889,,Torsten,Schweiger,CDU/CSU,11004889,,,
11004124,,Aydan,Özoğuz,SPD,11004124,,,
11002823,,Ute,Vogt,SPD,11002823,,,
999990006,Dr. ,Hans-Peter,Bartels,,999990006,,Wehrbeauftragter des Deutschen Bundestages,
11004800,,Jens,Lehmann,CDU/CSU,11004800,,,
11004811,,Jens,Maier,AfD,11004811,,,
11004677,,Mario,Brandenburg,FDP,11004677,(Südpfalz),,
11004051,Dr. ,Matthias,Heider,CDU/CSU,11004051,,,
11004883,,Felix,Schreiner,CDU/CSU,11004883,,,
11004059,,Karl,Holmeier,CDU/CSU,11004059,,,
11004653,,Gökay,Akbulut,DIE LINKE,11004653,,,
11004941,,Gyde,Jensen,FDP,11004941,,,
11004734,,Thomas,Hacker,FDP,11004734,,,
11004750,,Katja,Hessel,FDP,11004750,,,
11004693,,Jörg,Cezanne,DIE LINKE,11004693,,,
11003809,Dr. ,Matthias,Miersch,SPD,11003809,,,
11004878,,Uwe,Schmidt,SPD,11004878,,,
11004760,Dr. ,Bruno,Hollnagel,AfD,11004760,,,
11004820,,Christoph,Meyer,FDP,11004820,,,
11004286,,Christian,Haase,CDU/CSU,11004286,,,
11003168,,Christian,Lange,,11003168,,Parl. Staatssekretär bei der Bundesministerin der Justiz und für Verbraucherschutz,
11003655,,Marco,Wanderwitz,,11003655,,Parl. Staatssekretär beim Bundesminister für Wirtschaft und Energie,
11004119,Dr. ,Ingrid,Nestle,BÜNDNIS 90/DIE GRÜNEN,11004119,,,
11004354,,Klaus,Mindrup,SPD,11004354,,,
11004684,Dr. ,Carsten,Brodesser,CDU/CSU,11004684,,,
999990050,,Verena,Bentele,,999990050,,Beauftragte der Bundesregierung für die Belange von Menschen mit Behinderungen,
11004390,,Corinna,Rüffer,BÜNDNIS 90/DIE GRÜNEN,11004390,,,
11004814,Dr. ,Astrid,Mannes,CDU/CSU,11004814,,,
11004776,Dr. ,Achim,Kessler,DIE LINKE,11004776,,,
11004841,,Petra,Nicolaisen,CDU/CSU,11004841,,,
11004006,,Bärbel,Bas,SPD,11004006,,,
11004449,,Hubertus,Zdebel,DIE LINKE,11004449,,,
11004737,,Verena,Hartmann,Fraktionslos,11004737,,,
11003542,,Markus,Grübel,CDU/CSU,11003542,,,
11003744,,Martin,Burkert,SPD,11003744,,,
11004407,,Andreas,Schwarz,SPD,11004407,,,
11004687,,Marcus,Bühl,AfD,11004687,,,
11004849,,Victor,Perli,DIE LINKE,11004849,,,
11004153,,Reinhold,Sendker,CDU/CSU,11004153,,,
11004397,,Udo,Schiefner,SPD,11004397,,,
11004083,,Rüdiger,Kruse,CDU/CSU,11004083,,,
11003152,,Martin,Hohmann,AfD,11003152,,,
11004765,,Ulla,Ihnen,FDP,11004765,,,
11003740,,Heidrun,Bluhm-Förster,DIE LINKE,11003740,,,
11004686,,Katrin,Budde,SPD,11004686,,,
11003582,,Patricia,Lips,CDU/CSU,11003582,,,
11003068,,Ekin,Deligöz,BÜNDNIS 90/DIE GRÜNEN,11003068,,,
11003624,,Axel,Schäfer,SPD,11003624,(Bochum),,
11004780,,Karsten,Klein,FDP,11004780,,,
11004388,,Dennis,Rohde,SPD,11004388,,,
11004882,,Eva-Maria,Schreiber,DIE LINKE,11004882,,,
11004870,,Stefan,Sauer,CDU/CSU,11004870,,,
11004332,,Carsten,Körber,CDU/CSU,11004332,,,
11004281,,Klaus-Dieter,Gröhler,CDU/CSU,11004281,,,
11004108,,Andreas,Mattfeldt,CDU/CSU,11004108,,,
11004412,,Svenja,Stadler,SPD,11004412,,,
11003630,,Swen,Schulz,SPD,11003630,(Spandau),,
11004382,,Kerstin,Radomski,CDU/CSU,11004382,,,
11003118,,Axel E. ,Fischer,CDU/CSU,11003118,(Karlsruhe-Land),,
11003551,,Michael,Hennrich,CDU/CSU,11003551,,,
11004113,,Dietrich,Monstadt,CDU/CSU,11004113,,,
11004136,,Josef,Rief,CDU/CSU,11004136,,,
11004252,Dr. ,André,Berghegger,CDU/CSU,11004252,,,
11004418,,Johannes,Steiniger,CDU/CSU,11004418,,,
11004911,,Jessica,Tatti,DIE LINKE,11004911,,,
11004413,,Martina,Stamm-Fibich,SPD,11004413,,,
11004222,,Manfred,Todtenhausen,FDP,11004222,,,
11004324,,Kerstin,Kassner,DIE LINKE,11004324,,,
11003799,,Paul,Lehrieder,CDU/CSU,11003799,,,
11003643,,Gero,Storjohann,CDU/CSU,11003643,,,
11004337,Dr. ,Katja,Leikert,CDU/CSU,11004337,,,
11004655,,Norbert Maria,Altenkamp,CDU/CSU,11004655,,,
11004292,,Matthias,Hauer,CDU/CSU,11004292,,,
11003834,,Frank,Schäffler,FDP,11003834,,,
11002798,,Johannes,Selle,CDU/CSU,11002798,,,
11004915,,Hans-Jürgen,Thies,CDU/CSU,11004915,,,
11004120,Dr. ,Martin,Neumann,FDP,11004120,(Lausitz),,
11004854,Dr. ,Christoph,Ploß,CDU/CSU,11004854,,,
11004038,Dr. ,Thomas,Gebhart,,11004038,,Parl. Staatssekretär beim Bundesminister für Gesundheit,
11003587,,Caren,Marks,,11003587,,"Parl. Staatssekretärin bei der Bundesministerin für Familie, Senioren, Frauen und Jugend",
11004700,,Britta Katharina,Dassler,FDP,11004700,,,
11003534,,Eberhard,Gienger,CDU/CSU,11003534,,,
11004788,,Jörn,König,AfD,11004788,,,
11004729,,Eckhard,Gnodtke,CDU/CSU,11004729,,,
11004903,,Andreas,Steier,CDU/CSU,11004903,,,
999990076,,Andreas,Geisel,,999990076,,Senator (Berlin),
11004827,,Andreas,Mrosek,AfD,11004827,,,
11003612,,Florian,Pronold,,11003612,,"Parl. Staatssekretär bei der Bundesministerin für Umwelt, Naturschutz und nukleare Sicherheit",
11004674,,Andreas,Bleck,AfD,11004674,,,
11004435,,Kees,de Vries,CDU/CSU,11004435,,,
11003248,,Arnold,Vaatz,CDU/CSU,11003248,,,
11004251,,Sybille,Benning,CDU/CSU,11004251,,,
11004782,Dr. ,Marcel,Klinge,FDP,11004782,,,
11004893,,Björn,Simon,CDU/CSU,11004893,,,
11003816,,Detlef,Müller,SPD,11003816,(Chemnitz),,
11004131,,Eckhard,Pols,CDU/CSU,11004131,,,
11004325,,Gabriele,Katzmarek,SPD,11004325,,,
11004922,Dr. ,Andrew,Ullmann,FDP,11004922,,,
11004327,Dr. ,Georg,Kippels,CDU/CSU,11004327,,,
11002621,,Doris,Barnett,SPD,11002621,,,
11004191,,Dagmar,Ziegler,SPD,11004191,,,
11001772,Dr. ,Peter,Ramsauer,CDU/CSU,11001772,,,
11004416,,Peter,Stein,CDU/CSU,11004416,(Rostock),,
11003658,,Ingo,Wellenreuther,CDU/CSU,11003658,,,
11004275,,Ulrich,Freese,SPD,11004275,,,
11004178,,Markus,Tressel,BÜNDNIS 90/DIE GRÜNEN,11004178,,,
11004376,,Detlev,Pilger,SPD,11004376,,,
11004293,,Mark,Hauptmann,CDU/CSU,11004293,,,
11004879,Dr. ,Claudia,Schmidtke,CDU/CSU,11004879,,,
11003890,,Christian,Hirte,CDU/CSU,11003890,,,
999990077,,Martin,Dulig,,999990077,,Staatsminister (Sachsen),
11003525,,Enak,Ferlemann,,11003525,,Parl. Staatssekretär beim Bundesminister für Verkehr und digitale Infrastruktur,
11003162,,Anette,Kramme,,11003162,,Parl. Staatssekretärin beim Bundesminister für Arbeit und Soziales,
11002754,,Thomas,Rachel,,11002754,,Parl. Staatssekretär bei der Bundesministerin für Bildung und Forschung,
11004747,,Waldemar,Herdt,AfD,11004747,,,
11004387,,Andreas,Rimkus,SPD,11004387,,,
11004352,,Jan,Metzler,CDU/CSU,11004352,,,
11003650,,Volkmar,Vogel,,11003650,,"Parl. Staatssekretär beim Bundesminister des Innern, für Bau und Heimat",
11004444,,Dirk,Wiese,SPD,11004444,,,
999990078,Dr. ,Joachim,Stamp,,999990078,,Minister (Nordrhein-Westfalen),
11004170,,Karin,Strenz,CDU/CSU,11004170,,,
11004767,,Fabian,Jacobi,AfD,11004767,,,
11004706,,Hartmut,Ebbing,FDP,11004706,,,
11004428,,Oswin,Veith,CDU/CSU,11004428,,,
11004855,,Paul Viktor,Podolay,AfD,11004855,,,
11004148,,Jimmy,Schulz,FDP,11004148,,,
11003450,,Ulrich,Kelber,SPD,11003450,,,
11004358,,Bettina,Müller,SPD,11004358,,,
11004708,,Berengar,Elsner von Gronow,AfD,11004708,,,
11004847,,Frank,Pasemann,AfD,11004847,,,
11001278,,Katharina,Landgraf,CDU/CSU,11001278,,,
999980200,,Gisela,Manderla,CDU/CSU,999980200,,,
11003838,,Marianne,Schieder,SPD,11003838,,,
11004298,,Mark,Helfrich,CDU/CSU,11004298,,,
11004821,,Corinna,Miazga,AfD,11004821,,,
11004122,,Thomas,Nord,DIE LINKE,11004122,,,
11004187,,Sabine,Weiss,,11004187,,Parl. Staatssekretärin beim Bundesminister für Gesundheit,
11002667,,Manfred,Grund,CDU/CSU,11002667,,,
11004168,,Dieter,Stier,CDU/CSU,11004168,,,
11003259,,Annette,Widmann-Mauz,,11003259,,Staatsministerin bei der Bundeskanzlerin,
999990079,Dr. ,Volker,Wissing,,999990079,,Staatsminister (Rheinland-Pfalz),
11000198,,Peter,Bleser,CDU/CSU,11000198,,,
11004348,,Gisela,Manderla,CDU/CSU,11004348,,,
11004723,,Sylvia,Gabelmann,DIE LINKE,11004723,,,
11003715,,Lars,Klingbeil,SPD,11003715,,,
999990080,,Jürgen,Dusel,,999990080,,Beauftragter der Bundesregierung für die Belange von Menschen mit Behinderungen,
11004426,,Carsten,Träger,SPD,11004426,,,
11004947,,Nezahat,Baradari,SPD,11004947,,,
999980202,,Nina,Warken,CDU/CSU,999980202,,,
11003197,,Kersten,Steinke,DIE LINKE,11003197,,,
11003512,,Marco,Bülow,Fraktionslos,11003512,,,
11004017,,Norbert,Brackmann,CDU/CSU,11004017,,,
11003199,,Dietmar,Nietan,SPD,11003199,,,
11004019,,Heike,Brehmer,CDU/CSU,11004019,,,
11004946,,Gerhard,Zickenheiner,BÜNDNIS 90/DIE GRÜNEN,11004946,,,
999990083,,Annegret,Kramp-Karrenbauer,,999990083,,Bundesministerin der Verteidigung,
11003231,,Olaf,Scholz,,11003231,,Bundesminister der Finanzen,
11003566,,Julia,Klöckner,,11003566,,Bundesministerin für Ernährung und Landwirtschaft,
11004949,,Isabel,Mackensen,SPD,11004949,,,
11002140,,Horst,Seehofer,,11002140,,"Bundesminister des Innern, für Bau und Heimat",
11004369,,Ingrid,Pahlmann,CDU/CSU,11004369,,,
11004277,Dr. ,Astrid,Freudenstein,CDU/CSU,11004277,,,
11003572,,Michael,Kretschmer,,11003572,,Ministerpräsident (Sachsen),
11004948,,Peter,Heidt,FDP,11004948,,,
11000254,Dr. ,Eberhard,Brecht,SPD,11000254,,,
11004839,,Christoph,Neumann,AfD,11004839,,,
11003031,Dr. ,Hans-Peter,Bartels,,11003031,,Wehrbeauftragter des Deutschen Bundestages,
11004371,,Markus,Paschke,SPD,11004371,,,
999990090,,Elke,Breitenbach,,999990090,,Senatorin (Berlin),
999990091,Dr. ,Benjamin-Immanuel,Hoff,,999990091,,Minister (Thüringen),
999990089,,Sandra,Bubendorfer-Licht,FDP,999990089,,,
11004437,,Nina,Warken,CDU/CSU,11004437,,,
999990093,,Boris,Pistorius,,999990093,,Minister (Niedersachsen),
999990085,Dr. ,Joe,Weingarten,SPD,999990085,,,
999990094,Dr. ,Reiner,Haseloff,,999990094,,Ministerpräsident (Sachsen-Anhalt),
999990088,,Sylvia,Lehmann,SPD,999990088,,,
999990095,,Georg,Eisenreich,,999990095,,Staatsminister (Bayern),
11003501,,Veronika,Bellmann,CDU/CSU,11003501,,,
11003023,,Annegret,Kramp-Karrenbauer,,11003023,,Bundesministerin der Verteidigung,
999990092,,Bela,Bach,SPD,999990092,,,
999990096,,Matthias,Nölke,FDP,999990096,,,
999990084,,Charlotte,Schneidewind-Hartnagel,BÜNDNIS 90/DIE GRÜNEN,999990084,,,
11001294,,Karl-Josef,Laumann,,11001294,,Minister (Nordrhein-Westfalen),
11003825,,Mechthild,Rawert,SPD,11003825,,,
999990097,,Dorothee,Martin,SPD,999990097,,,
11004450,,Tobias,Zech,CDU/CSU,11004450,,,
999990098,Dr. ,Till,Backhaus,,999990098,,Minister (Mecklenburg-Vorpommern),
999990099,,Manuela,Schwesig,,999990099,,Ministerpräsidentin (Mecklenburg-Vorpommern),
999990100,,Katja,Meier,,999990100,,Staatsministerin (Sachsen),
999990087,Dr. ,Saskia,Ludwig,CDU/CSU,999990087,,,
999990102,,Malu,Dreyer,,999990102,,Ministerpräsidentin (Rheinland-Pfalz),
999990103,,Georg,Maier,,999990103,,Minister (Thüringen),
11003702,Dr. ,Volker,Wissing,,11003702,,Staatsminister (Rheinland-Pfalz),
999990105,Dr. ,Janosch,Dahmen,BÜNDNIS 90/DIE GRÜNEN,999990105,,,
999990106,,Michael,Müller,,999990106,,Regierender Bürgermeister (Berlin),
999990104,,Christian,Natterer,CDU/CSU,999990104,,,
11003610,Dr. ,Andreas,Pinkwart,,11003610,,Minister (Nordrhein-Westfalen),
